# EPIC|Teff|sTeff+|sTeff-|logg|slogg+|slogg-|FeH|sFeH+|sFeH-|Rad|sRad+|sRad-|Mass|sMass+|sMass-|rho|srho+|srho-|dis|dis+|dis-|ebv|ebv+|ebv-|prov
   210459910 | 5715 |  138 |  138 | 3.978 | 0.504 | 0.126 | -0.137 | 0.200 | 0.360 |   1.835 |   0.104 |   0.890 |   1.034 |   0.104 |   0.145 | 1.841e-01 | 9.357e-01 | 5.907e-02 | 3.136e+02 | 2.011e+01 | 1.473e+02 | 0.2408 | 0.0680 | 0.0816 |   rpm
   210459958 | 6266 |  399 |  332 | 4.254 | 0.065 | 0.260 |  0.002 | 0.060 | 0.160 |   1.432 |   0.421 |   0.241 |   1.326 |   0.032 |   0.251 | 4.364e-01 | 2.061e-01 | 2.594e-01 | 4.765e+02 | 1.070e+02 | 8.740e+01 | 0.5699 | 0.1580 | 0.0948 |   rpm
   210460124 | 3713 |  205 |  146 | 4.942 | 0.075 | 0.075 |  0.003 | 0.120 | 0.180 |   0.335 |   0.078 |   0.075 |   0.354 |   0.098 |   0.098 | 9.210e+00 | 5.320e+00 | 2.911e+00 | 1.864e+02 | 6.102e+01 | 5.370e+01 | 0.2622 | 0.0990 | 0.1188 |   rpm
   210460151 | 4750 |  120 |  120 | 2.458 | 0.252 | 0.090 | -0.200 | 0.160 | 0.200 |  10.987 |   0.813 |   1.990 |   1.305 |   0.412 |   0.206 | 9.168e-04 | 9.768e-04 | 1.969e-04 | 1.213e+03 | 9.875e+01 | 1.594e+02 | 0.6405 | 0.1104 | 0.0920 |   rpm
   210460225 | 5623 |  211 |  176 | 4.474 | 0.070 | 0.504 | -0.308 | 0.250 | 0.250 |   0.904 |   0.761 |   0.100 |   0.908 |   0.047 |   0.085 | 1.142e+00 | 3.636e-01 | 9.580e-01 | 2.945e+02 | 1.847e+02 | 8.648e+01 | 0.3353 | 0.1190 | 0.1190 |   rpm
   210460235 | 5250 |  196 |  131 | 2.479 | 0.060 | 0.080 | -0.924 | 0.250 | 0.250 |   9.049 |   0.905 |   0.735 |   0.897 |   0.101 |   0.021 | 1.181e-03 | 2.753e-04 | 2.789e-04 | 8.387e+02 | 8.007e+01 | 4.947e+01 | 0.2664 | 0.1372 | 0.0980 |   rpm
   210460262 | 3523 |  130 |  234 | 5.044 | 0.096 | 0.060 | -0.021 | 0.150 | 0.210 |   0.233 |   0.057 |   0.062 |   0.214 |   0.093 |   0.078 | 1.750e+01 | 1.134e+01 | 6.097e+00 | 9.161e+01 | 3.427e+01 | 2.838e+01 | 0.0992 | 0.0738 | 0.0410 |   col
   210460280 | 4028 |  127 |  190 | 4.821 | 0.081 | 0.045 | -0.080 | 0.200 | 0.240 |   0.454 |   0.053 |   0.083 |   0.511 |   0.063 |   0.105 | 5.281e+00 | 2.352e+00 | 1.047e+00 | 3.332e+01 | 1.299e+01 | 9.348e+00 | 0.0399 | 0.0336 | 0.0252 |   rpm
   210460296 | 4722 |  145 |  145 | 2.489 | 0.270 | 0.135 | -0.135 | 0.180 | 0.210 |  11.102 |   1.297 |   1.592 |   1.403 |   0.429 |   0.286 | 9.499e-04 | 1.186e-03 | 2.927e-04 | 1.137e+03 | 1.154e+02 | 1.245e+02 | 0.7722 | 0.0780 | 0.1092 |   rpm
   210460331 | 5897 |  241 |  290 | 4.154 | 0.270 | 0.270 | -0.105 | 0.150 | 0.300 |   1.378 |   0.542 |   0.452 |   1.049 |   0.190 |   0.135 | 3.463e-01 | 5.858e-01 | 2.176e-01 | 5.027e+02 | 2.074e+02 | 1.706e+02 | 0.4672 | 0.1220 | 0.1708 |   rpm
   210460381 | 3629 | 1303 |  210 | 5.013 | 0.100 | 0.380 | -0.092 | 0.160 | 0.280 |   0.265 |   0.402 |   0.074 |   0.267 |   0.473 |   0.099 | 1.305e+01 | 9.631e+00 | 1.106e+01 | 1.304e+02 | 3.718e+02 | 4.484e+01 | 0.1314 | 0.2016 | 0.0630 |   col
